dit|dit|dire|DICERE||VERB||Fin,Ind,Pres,Intr,3,Sing
dit|dit1|dire|DICERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
dit|dit3|dire|DICERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
dois|dois||||||
dolereus|dolereus|doloros|DOLOROSUS||ADJ||Masc,Sing,Nom
donc|donc|donc|DUNC||ADV||
dont|dont|dont|UNDE||ADV||
dou|dou|de|DE||ADP||PrepArt
dou_qels|dou_qels||||||
doulent|doulent|dolent|DOLERE||ADJ||Masc,Sing,Nom
doulor|doulor|dolor|DOLOR||NOUN||Masc,Sing,Acc
doulor|doulor1|dolor|DOLOR||NOUN||Fem,Sing
doulor|doulor2|dolor|DOLOR||NOUN||Masc,Sing,Nom
doutast|doutast|doter2|DUBITARE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing
doux|doux|douz|DULCIS||ADJ||Masc,Sing,Nom
droi|droi|droit|DIRECTUS||ADJ||Masc,Sing,Acc
duel|duel1|duel|DOLUS||NOUN||Masc,Sing,Acc
duroit|duroit|durer|DURARE||VERB||Fin,Ind,Imp,Intr,3,Sing
d’|d’|de|DE||ADP||
e|e|et|ET||CCONJ||
echas|echas||||||
ecuba|ecuba|Hécube|||PROPN||Fem,Sing
elle|elle|il|ILLE||PRON||Prs,3,Fem,Sing,Nom
els|els|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
en|en|en1|IN||ADP||
en|en2|en2|INDE||PRON||
encore|encore|encore|HORA||ADV||
enfans|enfans|enfant|INFANS||NOUN||Masc,Plur,Acc
engins|engins|engin|INGENIUM||NOUN||Masc,Sing,Nom
enpire|enpire|empire|IMPERIUM||NOUN||Masc,Sing,Acc
ensausiéz|ensausiéz1|essaucier|*EXALTIARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
ensi|ensi|ainsi|SIC||ADV||
ensi_com|ensi_com|ainsi|SIC||ADV|Adv|MWEs
ensi_come|ensi_come|ainsi|SIC||ADV|Adv|MWEs
ensilliee|ensilliee|essillier|EXCIDIUM||VERB|Adj|Ind,Part,Past,Sing,Fem
entaalés|entaalés|entaillier|TALIARE||VERB|Adj|Ind,Part,Past,Plur,Masc
entaillee|entaillee|entaillier|TALIARE||VERB|Adj|Ind,Part,Past,Sing,Fem
entailleüres|entailleüres|entaillëure|TALIARE||NOUN||Fem,Plur
entailliés|entailliés|entaillier|TALIARE||VERB|compPass|Ind,Part,Past,Plur,Fem,MWEs
entaillés|entaillés|entaillier|TALIARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
entente|entente|entente|INTENDERE||NOUN||Fem,Sing
entiers|entiers|entier|INTEGER||ADJ||Masc,Sing,Acc
entor|entor1|entor|TORNARE||ADV||Loc
environ|environ|environ|VIBRARE||NOUN|Adv|Masc,Sing,Acc
envoié|envoié|envoiier|INVIARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
es|es2|estre|ESSE||VERB|auxCop|Fin,Ind,Pres,2,Sing
escouter|escouter|escouter|AUSCULTARE||VERB||Ind,Inf,Pres,Act,Trans
esillee|esillee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
esilliee|esilliee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
esionan|esionan|Esionam|||PROPN||Fem,Sing
espeses|espeses|espès|SPISSUS||ADJ||Fem,Plur
est|est1|estre1|ESSE||VERB|auxCop|Fin,Ind,Pres,3,Sing
est|est2|estre1|ESSE||VERB|auxPass|Fin,Ind,Pres,3,Sing,MWEs
establi|establi|establir|STABILIRE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
establie|establie1|establir|STABILIRE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
establir|establir|establir|STABILIRE||VERB||Ind,Inf,Pres,Act,Trans
establirent|establirent|establir|STABILIRE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
estoient|estoient|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Plur
estoient|estoient1|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Plur
estoient|estoient3|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Plur,MWEs
estoire|estoire|estoire1|HISTORIA||NOUN||Fem,Sing
estoit|estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
estoit|estoit1|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
estoit|estoit2|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
estoit|estoit3|estre1|ESSE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
estre|estre|estre1|ESSE||VERB|auxPass|Ind,Inf,Pres,MWEs
esté|esté1|estre1|ESSE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
esté|esté5|estre1|ESSE||VERB|auxPass|Ind,Part,Past,Sing,Fem,MWEs
esté|esté6|estre1|ESSE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs
et|et|et|ET||CCONJ||
etsionan|etsionan|Esionam|||PROPN||Fem,Sing
evre|evre|uevre|OPERA||NOUN||Fem,Sing
fa|fa|faire|FACERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
faire|faire|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans
faison|faison|façon|FACTIO||NOUN||Fem,Sing
