FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
serors	serors	seror	SOROR		NOUN		Fem,Plur
.	.						
et	et	et	ET		CCONJ		
puis	puis	puis	POSTEA		ADV		Tim
enmenerent	enmenerent	enmener	MINARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
esionan	esionan	Esionam			PROPN		Fem,Sing
en	en	en1	IN		ADP		
servaje	servaje	servage	SERVUS		NOUN		Masc,Sing,Acc
.	.						
si	si	si	SIC		ADV		
ne	ne	ne1	NON		ADV		Neg
l’	l’	le	ILLE		DET		ArtDef,Masc,Sing
a	a	avoir	HABERE		VERB		Fin,Ind,Pres,Act,Trans,3,Sing
talemon	talemon	Talemon			PROPN		Masc,Sing,Nom
volue	volue	voloir	VELLE		VERB	compTens	Ind,Part,Past,Sing,Fem,MWEs
prendre	prendre	prendre	PREHENDERE		VERB		Ind,Inf,Pres,Act,Trans
à	à	a3	AD		ADP		
feme	feme	feme	FEMINA		NOUN		Fem,Sing
.	.						
aprés	aprés	après	AD PRESSUM		ADP		
savés	savés	savoir	SAPERE		VERB		Fin,Ind,Pres,Act,Trans,2,Plur
coment	coment	coment	QUOMODO		ADV		Int
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
destruissent	destruissent	destruire	DESTRUERE		VERB		Fin,Ind,Pres,Act,Trans,3,Plur
nostre	nostre	nostre	NOSTER		DET		Poss,Fem,Sing
cité	cité	cité	CIVITAS		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
degasterent	degasterent	degaster	VASTARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
.	.						
por	por	por2	PRO		ADP		
toutes	toutes	tot	TOTUS		DET		Ind,Fem,Plur
ses	ses	suen	SUUS		DET		Poss,Masc,Plur,Nom
chouses	chouses	chose	CAUSA		NOUN		Fem,Plur
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
fais	fais	faire	FACERE		VERB	auxMod	Fin,Ind,Pres,1,Sing
à	à	a3	AD		ADP		
savoir	savoir	savoir	SAPERE		VERB	Noun	Ind,Inf,Pres
qe	qe	queque	QUID		PRON		Rel,Nom
mon	mon	mon1	MEUS		DET		Poss,Masc,Sing,Nom
cuer	cuer	cuer2	COR		NOUN		Masc,Sing,Acc
est	est	estre1	ESSE		VERB		Fin,Ind,Pres,Intr,3,Sing
en	en	en1	IN		ADP		
