FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
l’	l’4	le	ILLE		PRON		Prs,3,Fem,Sing,Acc
a	a1	avoir	HABERE		VERB	auxTens	Fin,Ind,Pres,3,Sing,MWEs
talemon	talemon	Talemon			PROPN		Masc,Sing,Nom
volue	volue	voloir	VELLE		VERB	compTens	Ind,Part,Past,Sing,Fem,MWEs
prendre	prendre	prendre	PREHENDERE		VERB		Ind,Inf,Pres,Act,Trans
à	à	a3	AD		ADP		
feme	feme	feme	FEMINA		NOUN		Fem,Sing
.	.						
aprés	aprés1	après	AD PRESSUM		ADV		Tim
savés	savés	savoir	SAPERE		VERB		Fin,Ind,Pres,Act,Trans,2,Plur
coment	coment	coment	QUOMODO		ADV		Int
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
destruissent	destruissent	destruire	DESTRUERE		VERB		Fin,Ind,Pres,Act,Trans,3,Plur
nostre	nostre	nostre	NOSTER		DET		Poss,Fem,Sing
cité	cité	cité	CIVITAS		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
degasterent	degasterent	degaster	VASTARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
.	.						
por	por	por2	PRO		ADP		
toutes	toutes	tot	TOTUS		DET		Ind,Fem,Plur
ses	ses3	ce	HOC		DET		Dem,Fem,Plur
chouses	chouses	chose	CAUSA		NOUN		Fem,Plur
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
fais	fais	faire	FACERE		VERB	auxMod	Fin,Ind,Pres,1,Sing
à	à	a3	AD		ADP		
savoir	savoir1	savoir	SAPERE		VERB		Ind,Inf,Pres,Act,Trans
qe	qe3	queque	QUID		SCONJ		
mon	mon	mon1	MEUS		DET		Poss,Masc,Sing,Nom
cuer	cuer1	cuer2	COR		NOUN		Masc,Sing,Nom
est	est1	estre1	ESSE		VERB	auxCop	Fin,Ind,Pres,3,Sing
en	en	en1	IN		ADP		
doulor	doulor	dolor	DOLOR		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
en	en	en1	IN		ADP		
tristesse	tristesse	tristece	TRISTIS		NOUN		Fem,Sing
.	.						
et	et	et	ET		CCONJ		
ensi	ensi	ainsi	SIC		ADV		
demora	demora	demorer	DEMORARI		VERB		Fin,Ind,Past,Intr,3,Sing
tot	tot1	tot	TOTUS		DET		Ind,Masc,Plur,Acc
les	les	le	ILLE		DET		ArtDef,Masc,Plur
jors	jors	jor	DIURNUM		NOUN		Masc,Plur,Acc
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
vie	vie	vie1	VITA		NOUN		Fem,Sing
se	se2	se	SI		SCONJ		
vengiance	vengiance	venjance	VINDICARE		NOUN		Fem,Sing
nen	nen	non	NON		ADV		Neg
est	est2	estre1	ESSE		VERB	auxPass	Fin,Ind,Pres,3,Sing,MWEs
prise	prise	prendre	PREHENDERE		VERB	compPass	Ind,Part,Past,Sing,Fem,MWEs
.	.						
et	et	et	ET		CCONJ		
por	por	por2	PRO		ADP		
se	se4	ce1	HOC		PRON		Dem,Neut,Sing,Acc
.	.						
biaus	biaus1	bel	BELLUS		ADJ		Masc,Plur,Nom
seignors	seignors	seignor	SENIOR		NOUN		Masc,Plur,Nom
.	.						
je	je	je	EGO		PRON		Prs,1,Sing,Nom
ai	ai	avoir	HABERE		VERB	auxTens	Fin,Ind,Pres,1,Sing,MWEs
pensés	pensés	penser	PENSARE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
demander	demander	demander	DEMANDARE		VERB		Ind,Inf,Pres,Act,Trans
qerre	qerre	querre	QUAERERE		VERB		Ind,Inf,Pres,Act,Trans
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
ensionan	ensionan	Esionam			PROPN		Fem,Sing
en	en	en1	IN		ADP		
grese	grese	Grèce			PROPN		Fem,Sing
.	.						
et	et	et	ET		CCONJ		
.	.						
c’	c’	se	SI		SCONJ		
il	il2	il	ILLE		PRON		Prs,3,Neut,Sing,Nom
avient	avient	avenir	ADVENIRE		VERB		Fin,Ind,Pres,Intr,3,Sing
q’	q’1	queque	QUID		SCONJ		
il	il1	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
la	la1	le	ILLE		PRON		Prs,3,Fem,Sing,Acc
m’	m’	moi	ME		PRON		Prs,1,Sing,Acc
en	en2	en2	INDE		PRON		
voillent	voillent	voloir	VELLE		VERB	auxMod	Fin,Sub,Pres,3,Plur
rendre	rendre	rendre	REDDERE		VERB		Ind,Inf,Pres,Act,Trans
.	.						
de	de	de	DE		ADP		
part	part	part1	PARS		NOUN		Fem,Sing
diex	diex3	dieu	DEUS		NOUN		Masc,Sing,Acc
soit	soit	estre1	ESSE		VERB		Fin,Sub,Pres,Intr,3,Sing
.	.						
et	et	et	ET		CCONJ		
se	se2	se	SI		SCONJ		
rendre	rendre	rendre	REDDERE		VERB		Ind,Inf,Pres,Act,Trans
ne	ne	ne1	NON		ADV		Neg
la	la1	le	ILLE		PRON		Prs,3,Fem,Sing,Acc
me	me	moi	ME		PRON		Prs,1,Sing,Acc
voudront	voudront	voloir	VELLE		VERB	auxMod	Fin,Ind,Fut,3,Plur
.	.						
si	si	si	SIC		ADV		
penserons	penserons	penser	PENSARE		VERB		Fin,Ind,Fut,Intr,1,Plur
entre	entre	entre2	INTER		ADP		
vos	vos1	vos	VOS		PRON		Prs,2,Plur,Nom
et	et	et	ET		CCONJ		
mes	mes2	mon1	MEUS		DET		Poss,Masc,Plur,Acc
fils	fils1	fil2	FILIUS		NOUN		Masc,Plur,Acc
et	et	et	ET		CCONJ		
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
et	et	et	ET		CCONJ		
consoillerons	consoillerons	conseillier3	CONSILIARE		VERB		Fin,Ind,Fut,Intr,1,Plur
dou	dou	de	DE		ADP		PrepArt
guerroier	guerroier1	guerroiier1	*WERRA		NOUN		Masc,Sing,Acc
ou	ou	o3	AUT		CCONJ		
dou	dou	de	DE		ADP		PrepArt
laisier	laisier1	laissier	LAXARE		VERB	Noun	Ind,Inf,Pres
.	.						
.	.						
coment	coment	coment	QUOMODO		ADV		Int
tos	tos4	tot	TOTUS		PRON		Ind,Masc,Plur,Nom
loerent	loerent	löer1	LAUDARE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
le	le	le	ILLE		DET		ArtDef,Masc,Sing
conseil	conseil	conseil	CONSILIUM		NOUN		Masc,Sing,Acc
qe	qe1	queque	QUID		PRON		Rel,Acc
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
ot	ot1	avoir	HABERE		VERB	auxTens	Fin,Ind,Past,3,Sing,MWEs
doné	doné	doner	DONARE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
les	les	le	ILLE		DET		ArtDef,Masc,Plur
