isilliee|isilliee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
jor|jor|jor|DIURNUM||NOUN||Masc,Sing,Acc
jusques|jusques|jusque| USQUE||ADP||
l_en|l_en|on|HOMO||PRON||Prs,3,Nom
la|la|le|ILLE||DET||ArtDef,Fem,Sing
la|la1|le|ILLE||PRON||Prs,3,Fem,Sing,Acc
la|la2|le|ILLE||DET||ArtDef,Fem,Plur
la_quel|la_quel|quel1|QUALIS||PRON||Rel,Fem,Sing
latin|latin|latin|LATINUS||ADJ|Noun|Masc,Sing,Acc
leüz|leüz|lire1|LEGERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
li|li|le|ILLE||DET||ArtDef,Masc,Sing
li|li1|li|ILLE||PRON||Prs,3,Masc,Sing,Acc
li_qel|li_qel|quel1|QUALIS||PRON||Rel,Masc,Sing,Acc
lu|lu|le|ILLE||DET||ArtDef,Masc,Sing
l’|l’|le|ILLE||DET||ArtDef,Masc,Sing
l’|l’1|le|ILLE||DET||ArtDef,Fem,Sing
mainiere|mainiere|maniere|MANUARIUS||NOUN||Fem,Sing
mains|mains|main2|MANUS||NOUN||Fem,Plur
me|me|moi|ME||PRON||Prs,1,Sing,Acc
mes|mes|mais1|MAGIS2||CCONJ||
mesires|mesires|X|X||X||
miels|miels|mieus|MELIOR||ADV||Cmp
moult|moult|mout|MULTUS||ADV||
mult|mult|mout|MULTUS||ADV||
nasqi|nasqi|naistre|NASCI||VERB||Fin,Ind,Past,Intr,3,Sing
ne|ne|ne1|NON||ADV||Neg
nen|nen|non|NON||ADV||Neg
ni|ni|ne2|NEC||CCONJ||
només|només|nomer|NOMINARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
non|non|non|NON||ADV||Neg
nos|nos|nos|NOS||PRON||Prs,1,Plur,Nom
nos|nos1|nos|NOS||PRON||Prs,1,Plur,Acc
nos|nos2|nostre|NOSTER||DET||Poss,Masc,Plur,Nom
