FORMA|FORMAKEY|LEMMA|ETIMO|LANG|POS|FUNCT|MSD
dolereus|dolereus|doloros|DOLOROSUS||ADJ||Masc,Sing,Nom
.|.||||||
desormés|desormés|desormais|HORA||ADV||Tim
es|es2|estre|ESSE||VERB|auxCop|Fin,Ind,Pres,2,Sing
tu|tu|tu|TU||PRON||Prs,2,Sing,Nom
seür|seür|sëur2|SECURUS||ADJ||Masc,Sing,Nom
de|de|de|DE||ADP||
vivre|vivre|vivre1|VIVERE||VERB||Ind,Inf,Pres,Intr
le|le|le|ILLE||DET||ArtDef,Masc,Sing
remanant|remanant|remanant|REMANERE||NOUN||Masc,Sing,Acc
de|de|de|DE||ADP||
ta|ta|ton4|TUUS||DET||Poss,Fem,Sing
vie|vie|vie1|VITA||NOUN||Fem,Sing
à|à|a3|AD||ADP||
doulor|doulor|dolor|DOLOR||NOUN||Masc,Sing,Acc
et|et|et|ET||CCONJ||
à|à|a3|AD||ADP||
martir|martir|martir|MARTYR||NOUN||Masc,Sing,Acc
.|.||||||
.|.||||||
.|.||||||
en|en|en1|IN||ADP||
tel|tel6|tel|TALIS||DET||Ind,Fem,Sing
mainiere|mainiere|maniere|MANUARIUS||NOUN||Fem,Sing
plaingnoit|plaingnoit|plaindre|PLANGERE||VERB||Fin,Ind,Imp,Intr,3,Sing
et|et|et|ET||CCONJ||
se|se|soi|SE||PRON||Prs,3,Sing,Acc
dementoit|dementoit|dementer|DEMENTARE||VERB||Fin,Ind,Imp,Rfl,3,Sing
priant|priant|Priam|||PROPN||Masc,Sing,Nom
.|.||||||
com|com|come1|QUOMODO||SCONJ||
je|je|je|EGO||PRON||Prs,1,Sing,Nom
vos|vos|vos|VOS||PRON||Prs,2,Plur,Acc
ai|ai|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
dit|dit1|dire|DICERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
et|et|et|ET||CCONJ||
conté|conté|conter|COMPUTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
.|.||||||
por|por|por2|PRO||ADP||
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
novelles|novelles|novele|NOVELLUS||NOUN||Fem,Plur
de|de|de|DE||ADP||
sa|sa|suen|SUUS||DET||Poss,Fem,Sing
grant|grant1|grant|GRANDIS||ADJ||Fem,Sing
perte|perte|perte|PERDERE||NOUN||Fem,Sing
qi|qi2|qui|QUI||PRON||Rel,Acc
contees|contees|conter|COMPUTARE||VERB|compPass|Ind,Part,Past,Plur,Fem,MWEs
li|li1|li|ILLE||PRON||Prs,3,Masc,Sing,Acc
furent|furent2|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Plur,MWEs
.|.||||||
voirement|voirement|voirement|VERUS||ADV||Man
cestui|cestui2|cest|ISTE||DET||Dem,Masc,Sing,Nom
priant|priant|Priam|||PROPN||Masc,Sing,Nom
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
avec|avec|avuec|AB HOC||ADP||
li|li1|li|ILLE||PRON||Prs,3,Masc,Sing,Acc
sa|sa|suen|SUUS||DET||Poss,Fem,Sing
fame|fame|feme|FEMINA||NOUN||Fem,Sing
.|.||||||
qi|qi|qui|QUI||PRON||Rel,Nom
ecuba|ecuba|Hécube|||PROPN||Fem,Sing
estoit|estoit2|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
apellee|apellee|apeler|APPELLARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
par|par|par|PER||ADP||
son|son1|suen|SUUS||DET||Poss,Masc,Sing,Acc
droi|droi|droit|DIRECTUS||ADJ||Masc,Sing,Acc
nom|nom1|nom|NOMEN||NOUN||Masc,Sing,Acc
.|.||||||
q’|q’|queque|QUID||PRON||Rel,Acc
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
ho|ho|avuec|AB HOC||ADP||
lui|lui|lui|ILLE||PRON||Prs,3,Sing,Acc
amenee|amenee|amener|MINARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
.|.||||||
de|de|de|DE||ADP||
cele|cele|cel|ILLE||DET||Dem,Fem,Sing
dame|dame|dame|DOMINA||NOUN||Fem,Sing
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
priant|priant|Priam|||PROPN||Masc,Sing,Nom
viii|viii||||||
filz|filz|fil2|FILIUS||NOUN||Masc,Plur,Acc
.|.||||||
les|les|le|ILLE||DET||ArtDef,Masc,Plur
v|v||||||
estoient|estoient|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Plur
masles|masles|masle|MASCULUS||ADJ||Masc,Plur,Nom
et|et|et|ET||CCONJ||
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
trois|trois|trois1|TRES||NUM||Ord
femelles|femelles|femele|FEMELLA||NOUN||Fem,Plur
.|.||||||
dou_qels|dou_qels||||||
horois|horois|öir|AUDIRE||VERB||Fin,Ind,Fut,Act,Trans,2,Plur
les|les|le|ILLE||DET||ArtDef,Masc,Plur
nons|nons|nom|NOMEN||NOUN||Masc,Plur,Acc
et|et|et|ET||CCONJ||
lor|lor5|lor3|ILLE||DET||Poss,Fem,Plur
vies|vies|vie1|VITA||NOUN||Fem,Plur
et|et|et|ET||CCONJ||
se|se4|ce1|HOC||PRON||Dem,Neut,Sing,Acc
q’|q’|queque|QUID||PRON||Rel,Acc
il|il1|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
devindrent|devindrent|devenir|DEVENIRE||VERB||Fin,Ind,Past,Intr,3,Plur
aprés|aprés1|après|AD PRESSUM||ADV||Tim
.|.||||||
de|de|de|DE||ADP||
qel|qel|quel1|QUALIS||DET||Int,Fem,Sing
vaillance|vaillance|vailance|VALERE||NOUN||Fem,Sing
il|il1|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
furent|furent|estre1|ESSE||VERB||Fin,Ind,Past,Intr,3,Plur
.|.||||||
coment|coment|coment|QUOMODO||ADV||Int
le|le8|le|ILLE||DET||ArtDef,Masc,Plur
fils|fils|fil2|FILIUS||NOUN||Masc,Plur,Nom
priant|priant1|Priam|||PROPN||Masc,Sing,Acc
furent|furent2|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Plur,MWEs
només|només|nomer|NOMINARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
.|.||||||
les|les5|le|ILLE||DET||ArtDef,Masc,Sing
premiers|premiers|premier|PRIMARIUS||ADJ||Masc,Sing,Nom
des|des2|de|DE||ADP||PrepArt
filz|filz|fil2|FILIUS||NOUN||Masc,Plur,Acc
priant|priant1|Priam|||PROPN||Masc,Sing,Acc
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
non|non2|nom|NOMEN||NOUN||Masc,Sing,Acc
hector|hector|Hector|||PROPN||Masc,Sing,Acc
.|.||||||
celui|celui2|cel|ILLE||PRON||Dem,Masc,Sing,Nom
estoit|estoit1|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
adonc|adonc|adonc|DUNC||ADV||
moult|moult|mout|MULTUS||ADV||
biau|biau|bel|BELLUS||ADJ||Masc,Sing,Nom
damoisel|damoisel|damoisel|*DOMNICELLUS||NOUN||Masc,Sing,Nom
.|.||||||
mes|mes|mais1|MAGIS2||CCONJ||
hore|hore|or4|HORA||ADV||Tim
ne|ne|ne1|NON||ADV||Neg
vos|vos|vos|VOS||PRON||Prs,2,Plur,Acc
en|en2|en2|INDE||PRON||
dirai|dirai|dire|DICERE||VERB||Fin,Ind,Pres,Intr,1,Sing
plus|plus|plus|PLUS||ADV||
por_ce_qe|por_ce_qe|por2|PRO||ADP|SConj |MWEs
aprés|aprés1|après|AD PRESSUM||ADV||Tim
horois|horois|öir|AUDIRE||VERB||Fin,Ind,Fut,Act,Trans,2,Plur
de|de|de|DE||ADP||
ces|ces1|ce2|ISTE||DET||Dem,Masc,Plur,Acc
mervoilleuses|mervoilleuses|merveillos|MIRABILIA||ADJ||Fem,Plur
honies|honies||||||
et|et|et|ET||CCONJ||
coment|coment|coment|QUOMODO||ADV||Int
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
trepassa|trepassa|trespasser|*PASSARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
tot|tot1|tot|TOTUS||DET||Ind,Masc,Plur,Acc
les|les|le|ILLE||DET||ArtDef,Masc,Plur
chevaliers|chevaliers1|chevalier|CABALLARIUS||NOUN||Masc,Plur,Acc
vivant|vivant|vivre1|VIVERE||VERB|Adj|Ind,Part,Pres
de|de|de|DE||ADP||
proësse|proësse|pröece|PRODE||NOUN||Fem,Sing
et|et|et|ET||CCONJ||
de|de|de|DE||ADP||
vallor|vallor|valor|VALOR||NOUN||Fem,Sing
.|.||||||
li|li|le|ILLE||DET||ArtDef,Masc,Sing
segont|segont|secont1|SECUNDUS||ADJ||Masc,Sing,Nom
fiz|fiz|fil2|FILIUS||NOUN||Masc,Sing,Nom
priant|priant1|Priam|||PROPN||Masc,Sing,Acc
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
non|non2|nom|NOMEN||NOUN||Masc,Sing,Acc
paris|paris|Paris|||PROPN||Masc,Sing,Acc
.|.||||||
qi|qi|qui|QUI||PRON||Rel,Nom
